"idestado","nombretema","area","tipoestado"
1,"Desarrollo e implementación de aplicación web para matriculación  registro de notas y publicación de noticias y eventos de la escuela de educación basica "" Mundo de angeles"" de la ciudad de guayaquil","BASE DE DATOS","A"
2,"Implementación de herramientas de software open source para monitorear los sistemas de comunicación de voz y datos de las empresas Tuval S.A. y Castek S.A.","BASE DE DATOS","A"
3,"Desarrollo e implementación de una aplicación web para la evaluación de la calidad del desempeño docente para la ""Unidad educativa Francisco de Orellana"" de la ciudad de Guayaquil.","BASE DE DATOS","A"
4,"Desarrollo de aplicación para el control de entrada-salida del personal y cálculo de horas extras en la empresa Conzaelect S. A.","BASE DE DATOS","A"
5,"Desarrollo e implementación de un sistema bibliotecario inventario y reservación de libros mediante una intranet.","BASE DE DATOS","A"
6,"Diseño y desarrollo de un prototipo de solución web para el apoyo y automatización del proceso en el Departamento de Recursos humanos que permita el control del personal Docente y Administrativo de la Asociación Fe y Alegría Ecuador","BASE DE DATOS","A"
7,"Análisis diseño y construcción de un almacén de datos de colocaciones de crédito y captaciones de los bancos privados para aplicar algoritmos de minería de datos","BASE DE DATOS","A"
8,"Diseño e implementación de un sistema de facturación y órdenes de trabajo para la empresa electro car.","BASE DE DATOS","A"
9,"Análisis e implementación para la creación de un clúster SQL server como solución centralizada de bases de datos satélites","BASE DE DATOS","A"
10,"Bases de datos no relacionales: Utilización de Mongo DB como base de datos no relacional empleando formato GEO JSON.","BASE DE DATOS","A"
11,"Análisis diseño y desarrollo de un sistema informático para la obtención de indicadores de sostenibilidad: Ambientales y sociales para la producción de leche en fincas del cantón Cayambe.","SOFTWARE","A"
12,"Análisis diseño desarrollo de un sistema de gestión para la emisión de los reportes de los análisis del Laboratorio de Agua y Suelos de la UPS en Cayambe","SOFTWARE","A"
13,"Integración del sistema geo-portal Salesiano versión 3.0 para la Comunidad Salesiana","SOFTWARE","A"
14,"Análisis diseño y generación de información gerencial para la toma de decicisiones de una clínica de especialidades médicas""","SOFTWARE","A"
15,"Análisis diseño desarrollo e implementación de una plataforma de video conferencia sobre herramientas libres para la Superintendencia de Control del Poder de Mercado""","SOFTWARE","A"
16,"Desarrollo del proyecto circuito alternativo de comercialización - Cialco módulo de administración del portal y bitácora de utilización","SOFTWARE","A"
17,"Análisis diseño desarrollo e implementación de un comparador de precios de operaciones económicas para la Superintendencia de Control del Poder de Mercado","SOFTWARE","A"
18,"Desarrollo de una aplicación móvil para la guía interactiva en el Campus Sur de la UPS y la presentación de noticias de la Carrera de Ingeniería de Sistemas usando realidad aumentada codificación QR y conexión web service","SOFTWARE","A"
19,"Desarrollo e implementación de un sistema multiagente para distribuir y realizar registros médicos","SOFTWARE","A"
20,"Desarrollar el módulo de operaciones y el módulo de recursos humanos para la empresa VICOSA CIA. LTDA sobre Open ERP","SOFTWARE","A"
21,"Creación de un front end usando HTML5 para explotar las funcionalidades de la plataforma Moodle además de una aplicación móvil android para el manejo oportuno de notificaciones con sincronización a Google Calendar","SOFTWARE","A"
22,"Análisis diseño y pruebas de hacking ético sobre la infraestructura institucional de la Superintendencia de Control del Poder de Mercado","REDES","A"
23,"Análisis y diseño de las seguridades sobre sistemas de voip mediante la implementación de session border controller sbc y encriptamiento de paquetes","REDES","A"
24,"Análisis y diseño de un sistema de gestión de seguridad de la información sobre la base de las normas ISO 27001 y 27002 para la Superintendencia de Control del Poder de Mercado","REDES","A"
25,"Diseño de una Infraestructura de Seguridad de Capa Tres basada en IPSec sobre túneles multipunto usando GRE para la interconexión de las Sedes Quito Guayaquil y Cuenca de la Universidad Politécnica Salesiana","REDES","A"
26,"Análisis y diseño de una red móvil ad hoc basada en el protocolo de enrutamiento AODV usando la herramienta de simulación NS2 para el sector de San Martín""","REDES","A"
27,"Implementación de una red piloto que muestre el funcionamiento y atributos que tiene el protocolo Overlay Transport Virtualization (OTV) sobre un ambiente virtualizado en GNS3""","REDES","A"
28,"Análisis comparativo del rendimiento del tráfico en REDESMPLS con túneles ipsec en entornos IPv6.","REDES","A"
29,"Evaluación de los procesos de la mesa de servicios informáticos de iPlanet Banda Ancha utilizando como marco de referencia ITIL para proponer mejoras en el proceso","REDES","A"
30,"Análisis y diseño de una red móvil ad hoc basada en el protocolo de enrutamiento AODV usando la herramienta de simulación NS2 para el sector de San Martín","REDES","A"
31,"Análisis comparativo del rendimiento del tráfico en REDESMPLS con túneles ipsec en entornos IPv6.","REDES","A"
32,"Análisis de factibilidad del área técnica y diseño de una red FTTH GPON en el sector de Cumbayá.","REDES","A"
33,"Análisis de factibilidad para la implementación del protocolo IPSEC en el nodo de internet 2 de la Univerisidad Politécnica Salesiana sede Quito campus sur.","REDES","A"
34,"Análisis de las funcionalidades de los protocolos de seguridad IPSEC, IKE, ISAKMP sobre Ipv6 e implementación de una red prototipo bajo infraestructura Cisco","REDES","A"
35,"Implementación de un servidor radios en windows server para centralizar la administración de nuevos access points en las oficinas remotas de galpones y huertos del gobierno autónomo descentralizado del Guayas.","REDES","A"
36,"Implementación de técnicas de Machine Learning para la detección de anomalías basados en NIDS.","MACHINE LEARNING","A"
37,"Construcción de un conjunto de imágenes faciales con metadatos biométricos y rasgos étnicos de ecuatorianos","MACHINE LEARNING","A"
38,"Implementación de técnicas de Machine learning para el diagnóstico automático de trastornos mentales","MACHINE LEARNING","A"
39,"Use of Google APIS to automatically recommended web accessibility corrections a multimedia approach.","MACHINE LEARNING","A"
40,"Desarrollo de un algoritmo mediante análisis de aprendizaje automático para la detección de fallos en vehículos M1 con motores de encendido provocado","MACHINE LEARNING","A"
41,"Sistema de toma de decisiones inteligentes para el mantenimiento predictivo y preventivo del sistema de inyección de un motor de combustión interna del vehículo Corsa Evolution 1.4L","MACHINE LEARNING","A"
42,"Análisis diseño y codificación de un sistema informático para gestionar los talleres de capacitación otorgados por la Administración de la Federación de Barrios del Noroccidente de Quito","SOFTWARE","A"
43,"Diseño e implementación de un sistema de facturación y órdenes de trabajo para la empresa electro car.","SOFTWARE","A"
44,"Estudio de procedimientos y algoritmos para la identificación automática de una carta de baraja ubicada sobre una mesa","MACHINE LEARNING","A"
45,"Despliegue de una red SDN aplicando el protocolo MPLS y generando políticas de QoS para servicios de telefonía IP","REDES","A"
46,"Desarrollo de una aplicación web que implemente un sistema georeferenciado con una inclusión de un módulo para el análisis de la calidad de agua para consumo humano por setor.","SOFTWARE","A"
47,"Procesamiento de imágenes a partir de muestras de imágenes provistas de una cámara en tiempo real utilizando visión artificial""","MACHINE LEARNING","A"
